"b:tnow in s","s:ut in p.u.","s:cur1 in p.u.","s:Q1 in Mvar","s:P1 in MW"
3.780000,1.051277,0.716418,136.607113,663.930238
3.790000,1.051743,0.715142,135.988512,663.131476
3.800000,1.052182,0.713955,135.425461,662.387061
3.810000,1.052594,0.712859,134.918284,661.701009
3.820000,1.052978,0.711859,134.467312,661.077134
3.830000,1.053335,0.710957,134.072877,660.519025
3.840000,1.053666,0.710158,133.735318,660.030031
3.850000,1.053969,0.709465,133.454980,659.613247
3.860000,1.054245,0.708879,133.232214,659.271498
3.870000,1.054495,0.708404,133.067373,659.007322
3.880000,1.054719,0.708041,132.960818,658.822968
3.890000,1.054916,0.707793,132.912909,658.720373
3.900000,1.055086,0.707661,132.924009,658.701161
3.910000,1.055230,0.707647,132.994476,658.766631
3.920000,1.055349,0.707750,133.124662,658.917753
3.930000,1.055441,0.707973,133.314911,659.155161
3.940000,1.055507,0.708315,133.565552,659.479149
3.950000,1.055548,0.708777,133.876894,659.889670
3.960000,1.055563,0.709357,134.249225,660.386335
3.970000,1.055552,0.710056,134.682801,660.968414
3.980000,1.055515,0.710872,135.177842,661.634839
3.990000,1.055453,0.711804,135.734530,662.384205
4.000000,1.055365,0.712851,136.352996,663.214780
4.010000,1.055252,0.714010,137.033315,664.124508
4.020000,1.055113,0.715280,137.775505,665.111018
4.030000,1.054949,0.716657,138.579510,666.171636
4.040000,1.054759,0.718139,139.445204,667.303394
4.050000,1.054544,0.719723,140.372376,668.503043
4.060000,1.054303,0.721406,141.360726,669.767067
4.070000,1.054037,0.723183,142.409859,671.091698
4.080000,1.053745,0.725052,143.519281,672.472933
4.090000,1.053428,0.727007,144.688387,673.906549
4.100000,1.053085,0.729044,145.916462,675.388125
4.110000,1.052717,0.731159,147.202672,676.913059
4.120000,1.052324,0.733348,148.546061,678.476589
4.130000,1.051906,0.735604,149.945546,680.073813
4.140000,1.051463,0.737924,151.399917,681.699714
4.150000,1.050995,0.740302,152.907830,683.349179
4.160000,1.050502,0.742732,154.467809,685.017025
4.170000,1.049985,0.745209,156.078241,686.698017
4.180000,1.049443,0.747728,157.737381,688.386899
4.190000,1.048878,0.750282,159.443348,690.078411
4.200000,1.048289,0.752867,161.194129,691.767316
4.210000,1.047676,0.755477,162.987580,693.448422
4.220000,1.047041,0.758105,164.821431,695.116605
4.230000,1.046384,0.760746,166.693288,696.766834
4.240000,1.045705,0.763395,168.600640,698.394189
4.250000,1.045004,0.766046,170.540864,699.993884
4.260000,1.044283,0.768694,172.511230,701.561288
4.270000,1.043541,0.771332,174.508910,703.091946
4.280000,1.042781,0.773956,176.530987,704.581594
4.290000,1.042002,0.776561,178.574461,706.026176
4.300000,1.041205,0.779140,180.636259,707.421864
4.310000,1.040391,0.781691,182.713247,708.765070
4.320000,1.039561,0.784206,184.802239,710.052453
4.330000,1.038716,0.786683,186.900014,711.280902
4.340000,1.037858,0.789117,189.003301,712.447626
4.350000,1.036986,0.791503,191.108816,713.550121
4.360000,1.036102,0.793837,193.213425,714.586055
4.370000,1.035207,0.796117,195.314191,715.553218
4.380000,1.034302,0.798337,197.407987,716.449767
4.390000,1.033388,0.800495,199.491350,717.274394
4.400000,1.032467,0.802587,201.560975,718.026081
4.410000,1.031540,0.804612,203.613730,718.704021
4.420000,1.030608,0.806566,205.646388,719.307787
4.430000,1.029672,0.808447,207.655732,719.837300
4.440000,1.028733,0.810253,209.638692,720.292715
4.450000,1.027793,0.811982,211.592290,720.674441
4.460000,1.026854,0.813634,213.513640,720.983201
4.470000,1.025916,0.815206,215.400009,721.219913
4.480000,1.024980,0.816698,217.248785,721.385714
4.490000,1.024049,0.818108,219.057452,721.481969
4.500000,1.023122,0.819438,220.823575,721.510246
4.510000,1.022203,0.820685,222.544806,721.472220
4.520000,1.021291,0.821850,224.218816,721.369999
4.530000,1.020388,0.822934,225.843393,721.205931
4.540000,1.019495,0.823936,227.416381,720.982342
4.550000,1.018614,0.824857,228.935564,720.701501
4.560000,1.017745,0.825697,230.398978,720.365897
4.570000,1.016889,0.826459,231.805083,719.978456
4.580000,1.016047,0.827142,233.152592,719.542299
4.590000,1.015221,0.827749,234.440259,719.060338
4.600000,1.014412,0.828281,235.666990,718.535473
4.610000,1.013620,0.828738,236.831797,717.970807
4.620000,1.012848,0.829124,237.933691,717.369661
4.630000,1.012095,0.829440,238.971687,716.735417
4.640000,1.011363,0.829687,239.944978,716.071424
4.650000,1.010653,0.829868,240.852899,715.381010
4.660000,1.009966,0.829985,241.694896,714.667485
4.670000,1.009302,0.830040,242.470504,713.934121
4.680000,1.008663,0.830036,243.179345,713.184109
4.690000,1.008049,0.829974,243.821127,712.420625
4.700000,1.007460,0.829857,244.395662,711.646806
4.710000,1.006898,0.829687,244.902868,710.865715
4.720000,1.006364,0.829466,245.342768,710.080345
4.730000,1.005857,0.829198,245.715477,709.293606
4.740000,1.005378,0.828883,246.021206,708.508323
4.750000,1.004928,0.828525,246.260250,707.727220
4.760000,1.004508,0.828126,246.432985,706.952910
4.770000,1.004117,0.827688,246.539858,706.187889
4.780000,1.003757,0.827213,246.581367,705.434521
4.790000,1.003428,0.826703,246.558065,704.695040
4.800000,1.003129,0.826161,246.470546,703.971537
4.810000,1.002861,0.825588,246.319452,703.265962
4.820000,1.002626,0.824986,246.105478,702.580122
4.830000,1.002421,0.824358,245.829375,701.915682
4.840000,1.002249,0.823705,245.491946,701.274176
4.850000,1.002109,0.823029,245.094047,700.656985
4.860000,1.002001,0.822331,244.636585,700.065338
4.870000,1.001925,0.821612,244.120512,699.500310
4.880000,1.001882,0.820876,243.546822,698.962819
4.890000,1.001871,0.820122,242.916550,698.453625
4.900000,1.001892,0.819352,242.230772,697.973331
4.910000,1.001945,0.818567,241.490599,697.522381
4.920000,1.002030,0.817768,240.697181,697.101059
4.930000,1.002147,0.816957,239.851703,696.709494
4.940000,1.002296,0.816133,238.955385,696.347659
4.950000,1.002477,0.815298,238.009487,696.015375
4.960000,1.002688,0.814452,237.015303,695.712311
4.970000,1.002931,0.813596,235.974165,695.437990
4.980000,1.003204,0.812730,234.887440,695.191790
4.990000,1.003507,0.811855,233.756532,694.972951
5.000000,1.003840,0.810971,232.582878,694.780575
5.010000,1.004203,0.810077,231.367953,694.613632
5.020000,1.004594,0.809174,230.113263,694.470969
5.030000,1.005013,0.808263,228.820351,694.351312
5.040000,1.005460,0.807342,227.490796,694.253273
5.050000,1.005934,0.806411,226.126207,694.175348
5.060000,1.006435,0.805471,224.728222,694.115947
5.070000,1.006961,0.804521,223.298506,694.073387
5.080000,1.007513,0.803560,221.838756,694.045899
5.090000,1.008088,0.802588,220.350693,694.031638
5.100000,1.008687,0.801605,218.836063,694.028695
5.110000,1.009309,0.800610,217.296635,694.035101
5.120000,1.009952,0.799603,215.734203,694.048843
5.130000,1.010617,0.798582,214.150583,694.067870
5.140000,1.011301,0.797548,212.547613,694.090112
