Gen,Signal,Method,Frequency,Damping,Amplitude,Phase
g3,Active Power,Order 6,1.0868721761616345,-0.6969681920892568,2.415759474320027,-0.0449322377983312
g3,Active Power,Order 6,0.006941498319570331,-0.0010443222256517482,0.1892869672762459,0.12442524785164485
g3,Active Power,Tau 1,0.543470521010236,-0.12761867891785322,10.740529141780693,2.055288536655387
g3,Active Power,Tau 0.1,0.5430573949611783,-0.12640313819415416,10.602734233747658,2.0707244530586673
g3,Active Power,Tau 0.1,1.0249522471669725,-0.6906320379442539,2.4036438761553724,0.24917096533963187
g3,Active Power,Tau 0.01,0.5430338104664423,-0.12688570096085913,10.666161695244352,2.0756273496489612
g3,Active Power,Tau 0.01,1.0868721761616345,-0.6969681920892568,2.415759474320027,-0.0449322377983312
g3,Active Power,Tau 0.01,0.006941498319570331,-0.0010443222256517482,0.1892869672762459,0.12442524785164485
g3,Reactive Power,Order 2,0.5472424822248247,-0.11835304839948307,0.6646119222998773,1.8916266229097143
g3,Reactive Power,Order 4,1.0247161053511344,-0.8480213439787361,0.8532106352764818,-0.428302168755831
g3,Reactive Power,Order 4,0.5415228209461536,-0.12028181176972394,0.6630114882433736,2.143383422536899
g3,Reactive Power,Order 6,1.071133547404176,-0.7408974074106109,0.7723649485413411,-0.5824296472279434
g3,Reactive Power,Order 6,0.5431071639938527,-0.12357277561159824,0.6900006719088086,2.0819377844240305
g3,Reactive Power,Order 6,0.015215724149560697,-0.10181141159160027,0.13935421449155616,0.8306201061493296
g3,Reactive Power,Tau 1,1.0247161053511344,-0.8480213439787361,0.8532106352764818,-0.428302168755831
g3,Reactive Power,Tau 1,0.5415228209461536,-0.12028181176972394,0.6630114882433736,2.143383422536899
g3,Reactive Power,Tau 0.1,1.0247161053511344,-0.8480213439787361,0.8532106352764818,-0.428302168755831
g3,Reactive Power,Tau 0.1,0.5415228209461536,-0.12028181176972394,0.6630114882433736,2.143383422536899
g3,Reactive Power,Tau 0.01,1.0708645866977422,-0.7303812327427738,0.7612522603711919,-0.5749977130854553
g3,Reactive Power,Tau 0.01,0.5431962456110226,-0.12419975388092923,0.6935796227012693,2.077110302075535
g3,Reactive Power,Tau 0.01,0.009301066291658904,0.0068331550452956505,0.017143989958475242,2.5988070402349432
g4,Voltage,Order 2,0.5416954574380392,-0.1292388161857995,0.0011798147282891624,1.730146353746103
g4,Voltage,Order 4,0.5421500037964259,-0.1236460759825467,0.0011316226697488342,1.7131541601015716
g4,Voltage,Order 6,0.5428534981692307,-0.12985061425987554,0.0011868418730152776,1.6739367497490552
g4,Voltage,Order 6,1.0268091233973085,-0.7962696549772004,0.00031086608007223484,2.1081953165966736
g4,Voltage,Order 6,0.011288574895027735,-0.014074216979533656,2.7735248347437085e-05,-0.6116944227285831
g4,Voltage,Tau 1,0.5416954574380392,-0.1292388161857995,0.0011798147282891624,1.730146353746103
g4,Voltage,Tau 0.1,0.5428988813033895,-0.12631497316764095,0.0011528843794451128,1.672057928134023
g4,Voltage,Tau 0.1,1.0601087639462436,-0.5657278166050997,0.00021302127493161594,1.9361491776908086
g4,Voltage,Tau 0.01,0.5428988813033895,-0.12631497316764095,0.0011528843794451128,1.672057928134023
g4,Voltage,Tau 0.01,1.0601087639462436,-0.5657278166050997,0.00021302127493161594,1.9361491776908086
g4,Current,Order 2,0.5418757689399607,-0.12523330173070535,0.00920143366358468,2.153603326786946
g4,Current,Order 4,0.5424878928620562,-0.11091941936192463,0.008402548496755046,2.1351480758519488
g4,Current,Order 4,0.08054619727506497,-0.888438880438163,0.005745532214131911,-1.9566625441335799
