"b:tnow in s","s:ut in p.u.","s:cur1 in p.u.","s:Q1 in Mvar","s:P1 in MW"
3.020000,1.031501,0.774962,179.802109,696.607015
3.030000,1.031610,0.774766,179.614483,696.545029
3.040000,1.031716,0.774579,179.434098,696.489186
3.050000,1.031820,0.774403,179.261163,696.439583
3.060000,1.031920,0.774238,179.095874,696.396302
3.070000,1.032018,0.774084,178.938422,696.359406
3.080000,1.032113,0.773941,178.788980,696.328941
3.090000,1.032205,0.773809,178.647712,696.304938
3.100000,1.032294,0.773689,178.514769,696.287414
3.110000,1.032379,0.773580,178.390292,696.276368
3.120000,1.032462,0.773483,178.274407,696.271781
3.130000,1.032540,0.773397,178.167232,696.273619
3.140000,1.032616,0.773323,178.068870,696.281831
3.150000,1.032688,0.773261,177.979411,696.296350
3.160000,1.032756,0.773210,177.898934,696.317095
3.170000,1.032820,0.773170,177.827507,696.343968
3.180000,1.032881,0.773143,177.765182,696.376858
3.190000,1.032938,0.773126,177.712003,696.415641
3.200000,1.032992,0.773121,177.668000,696.460179
3.210000,1.033041,0.773127,177.633189,696.510321
3.220000,1.033087,0.773144,177.607577,696.565905
3.230000,1.033128,0.773172,177.591157,696.626756
3.240000,1.033166,0.773210,177.583912,696.692692
3.250000,1.033200,0.773260,177.585811,696.763518
3.260000,1.033229,0.773319,177.596814,696.839031
3.270000,1.033255,0.773388,177.616866,696.919022
3.280000,1.033277,0.773468,177.645907,697.003268
3.290000,1.033294,0.773557,177.683860,697.091547
3.300000,1.033308,0.773655,177.730640,697.183627
3.310000,1.033317,0.773762,177.786150,697.279272
3.320000,1.033323,0.773878,177.850283,697.378242
3.330000,1.033324,0.774003,177.922924,697.480293
3.340000,1.033322,0.774135,178.003945,697.585180
3.350000,1.033315,0.774276,178.093211,697.692653
3.360000,1.033305,0.774424,178.190576,697.802465
3.370000,1.033290,0.774580,178.295885,697.914365
3.380000,1.033272,0.774742,178.408976,698.028106
3.390000,1.033249,0.774911,178.529677,698.143439
3.400000,1.033223,0.775086,178.657808,698.260119
3.410000,1.033193,0.775268,178.793181,698.377904
3.420000,1.033160,0.775455,178.935601,698.496553
3.430000,1.033122,0.775647,179.084866,698.615832
3.440000,1.033081,0.775844,179.240767,698.735510
3.450000,1.033036,0.776046,179.403087,698.855360
3.460000,1.032988,0.776252,179.571605,698.975163
3.470000,1.032936,0.776462,179.746092,699.094705
3.480000,1.032881,0.776676,179.926316,699.213778
3.490000,1.032822,0.776893,180.112038,699.332182
3.500000,1.032760,0.777114,180.303013,699.449725
3.510000,1.032695,0.777337,180.498993,699.566221
3.520000,1.032627,0.777562,180.699727,699.681494
3.530000,1.032556,0.777790,180.904957,699.795376
3.540000,1.032482,0.778019,181.114425,699.907706
3.550000,1.032405,0.778250,181.327866,700.018335
3.560000,1.032325,0.778482,181.545015,700.127120
3.570000,1.032242,0.778715,181.765603,700.233928
3.580000,1.032157,0.778949,181.989359,700.338636
3.590000,1.032070,0.779183,182.216011,700.441130
3.600000,1.031980,0.779418,182.445284,700.541304
3.610000,1.031888,0.779652,182.676902,700.639064
3.620000,1.031793,0.779886,182.910590,700.734321
3.630000,1.031697,0.780120,183.146069,700.826999
3.640000,1.031598,0.780353,183.383062,700.917029
3.650000,1.031498,0.780585,183.621291,701.004350
3.660000,1.031396,0.780815,183.860479,701.088912
3.670000,1.031292,0.781045,184.100348,701.170671
3.680000,1.031187,0.781272,184.340624,701.249592
3.690000,1.031081,0.781498,184.581030,701.325648
3.700000,1.030973,0.781722,184.821295,701.398816
3.710000,1.030864,0.781944,185.061146,701.469081
3.720000,1.030754,0.782163,185.300314,701.536437
3.730000,1.030644,0.782380,185.538529,701.600885
3.740000,1.030532,0.782594,185.775525,701.662434
3.750000,1.030420,0.782805,186.011039,701.721098
3.760000,1.030307,0.783014,186.244810,701.776894
3.770000,1.030194,0.783219,186.476582,701.829847
3.780000,1.030081,0.783421,186.706099,701.879984
3.790000,1.029968,0.783619,186.933110,701.927338
3.800000,1.029855,0.783814,187.157369,701.971944
3.810000,1.029741,0.784006,187.378631,702.013841
3.820000,1.029628,0.784193,187.596658,702.053071
3.830000,1.029516,0.784377,187.811215,702.089680
3.840000,1.029404,0.784557,188.022071,702.123715
3.850000,1.029293,0.784732,188.229002,702.155223
3.860000,1.029182,0.784904,188.431787,702.184256
3.870000,1.029072,0.785071,188.630213,702.210865
3.880000,1.028964,0.785233,188.824069,702.235103
3.890000,1.028856,0.785391,189.013153,702.257020
3.900000,1.028750,0.785544,189.197268,702.276668
3.910000,1.028645,0.785693,189.376224,702.294095
3.920000,1.028542,0.785837,189.549835,702.309352
3.930000,1.028440,0.785975,189.717922,702.322488
3.940000,1.028340,0.786109,189.880314,702.333558
3.950000,1.028242,0.786238,190.036844,702.342612
3.960000,1.028145,0.786361,190.187356,702.349697
3.970000,1.028051,0.786479,190.331698,702.354860
3.980000,1.027959,0.786592,190.469728,702.358146
3.990000,1.027870,0.786700,190.601310,702.359595
4.000000,1.027782,0.786802,190.726315,702.359249
4.010000,1.027698,0.786898,190.844623,702.357143
4.020000,1.027615,0.786988,190.956120,702.353313
4.030000,1.027536,0.787073,191.060701,702.347791
4.040000,1.027459,0.787152,191.158268,702.340605
4.050000,1.027385,0.787225,191.248731,702.331783
4.060000,1.027314,0.787293,191.332008,702.321347
4.070000,1.027246,0.787354,191.408024,702.309320
4.080000,1.027181,0.787409,191.476714,702.295719
4.090000,1.027119,0.787458,191.538018,702.280559
4.100000,1.027061,0.787500,191.591887,702.263853
4.110000,1.027006,0.787537,191.638278,702.245612
4.120000,1.026954,0.787567,191.677157,702.225844
4.130000,1.026906,0.787591,191.708497,702.204553
4.140000,1.026861,0.787608,191.732280,702.181742
4.150000,1.026819,0.787619,191.748496,702.157413
4.160000,1.026781,0.787624,191.757143,702.131564
4.170000,1.026747,0.787622,191.758226,702.104193
4.180000,1.026717,0.787613,191.751760,702.075296
4.190000,1.026690,0.787598,191.737767,702.044866
4.200000,1.026667,0.787576,191.716278,702.012899
4.210000,1.026647,0.787548,191.687331,701.979386
4.220000,1.026631,0.787513,191.650973,701.944320
4.230000,1.026619,0.787472,191.607259,701.907693
4.240000,1.026611,0.787424,191.556251,701.869497
4.250000,1.026607,0.787369,191.498021,701.829724
4.260000,1.026606,0.787308,191.432648,701.788367
4.270000,1.026609,0.787240,191.360217,701.745419
4.280000,1.026616,0.787165,191.280823,701.700874
4.290000,1.026626,0.787085,191.194569,701.654727
4.300000,1.026641,0.786997,191.101564,701.606974
4.310000,1.026659,0.786904,191.001924,701.557615
4.320000,1.026680,0.786804,190.895774,701.506649
4.330000,1.026705,0.786698,190.783246,701.454078
4.340000,1.026734,0.786585,190.664477,701.399908
4.350000,1.026767,0.786467,190.539614,701.344145
4.360000,1.026802,0.786342,190.408808,701.286800
4.370000,1.026842,0.786212,190.272218,701.227886
4.380000,1.026884,0.786076,190.130009,701.167419
4.390000,1.026930,0.785934,189.982353,701.105420
4.400000,1.026980,0.785787,189.829427,701.041911
4.410000,1.027032,0.785634,189.671414,700.976919
4.420000,1.027088,0.785476,189.508503,700.910476
4.430000,1.027146,0.785313,189.340889,700.842615
4.440000,1.027208,0.785145,189.168771,700.773377
4.450000,1.027273,0.784973,188.992355,700.702803
4.460000,1.027340,0.784795,188.811849,700.630942
4.470000,1.027410,0.784613,188.627468,700.557844
4.480000,1.027483,0.784428,188.439430,700.483566
4.490000,1.027558,0.784238,188.247958,700.408169
4.500000,1.027636,0.784044,188.053278,700.331718
4.510000,1.027716,0.783847,187.855620,700.254281
4.520000,1.027798,0.783646,187.655217,700.175934
4.530000,1.027882,0.783442,187.452305,700.096752
4.540000,1.027969,0.783235,187.247125,700.016820
4.550000,1.028057,0.783026,187.039916,699.936223
4.560000,1.028147,0.782814,186.830924,699.855052
4.570000,1.028239,0.782601,186.620394,699.773400
4.580000,1.028333,0.782385,186.408573,699.691366
4.590000,1.028427,0.782168,186.195709,699.609052
4.600000,1.028524,0.781949,185.982052,699.526561
4.610000,1.028621,0.781729,185.767851,699.444002
4.620000,1.028720,0.781509,185.553357,699.361486
4.630000,1.028819,0.781288,185.338819,699.279127
4.640000,1.028919,0.781067,185.124488,699.197040
4.650000,1.029020,0.780846,184.910612,699.115344
4.660000,1.029122,0.780625,184.697441,699.034160
4.670000,1.029224,0.780405,184.485220,698.953610
4.680000,1.029327,0.780186,184.274197,698.873816
4.690000,1.029430,0.779968,184.064614,698.794904
4.700000,1.029532,0.779752,183.856715,698.716996
4.710000,1.029635,0.779537,183.650739,698.640216
4.720000,1.029738,0.779325,183.446923,698.564689
4.730000,1.029840,0.779115,183.245502,698.490541
4.740000,1.029943,0.778907,183.046704,698.417899
4.750000,1.030044,0.778703,182.850758,698.346890
4.760000,1.030145,0.778501,182.657887,698.277637
4.770000,1.030245,0.778304,182.468311,698.210266
4.780000,1.030345,0.778110,182.282246,698.144896
4.790000,1.030443,0.777920,182.099905,698.081647
4.800000,1.030540,0.777734,181.921493,698.020637
4.810000,1.030636,0.777553,181.747212,697.961978
4.820000,1.030731,0.777377,181.577261,697.905783
4.830000,1.030825,0.777206,181.411829,697.852158
4.840000,1.030917,0.777040,181.251103,697.801208
4.850000,1.031007,0.776879,181.095262,697.753032
4.860000,1.031095,0.776724,180.944482,697.707726
4.870000,1.031182,0.776575,180.798929,697.665381
4.880000,1.031267,0.776433,180.658765,697.626083
4.890000,1.031350,0.776296,180.524144,697.589913
4.900000,1.031430,0.776166,180.395214,697.556946
4.910000,1.031509,0.776043,180.272116,697.527254
4.920000,1.031585,0.775927,180.154982,697.500899
4.930000,1.031659,0.775817,180.043941,697.477939
4.940000,1.031731,0.775715,179.939109,697.458428
4.950000,1.031800,0.775620,179.840598,697.442408
4.960000,1.031867,0.775532,179.748512,697.429919
4.970000,1.031930,0.775452,179.662946,697.420990
4.980000,1.031992,0.775379,179.583987,697.415647
4.990000,1.032050,0.775314,179.511714,697.413909
5.000000,1.032106,0.775256,179.446197,697.415787
5.010000,1.032159,0.775207,179.387498,697.421286
5.020000,1.032208,0.775165,179.335671,697.430406
5.030000,1.032255,0.775131,179.290762,697.443135
5.040000,1.032299,0.775105,179.252807,697.459459
5.050000,1.032340,0.775086,179.221836,697.479353
5.060000,1.032378,0.775076,179.197868,697.502786
5.070000,1.032413,0.775073,179.180915,697.529723
5.080000,1.032444,0.775079,179.170981,697.560119
5.090000,1.032473,0.775092,179.168060,697.593923
5.100000,1.032498,0.775113,179.172140,697.631077
5.110000,1.032520,0.775141,179.183199,697.671518
5.120000,1.032539,0.775178,179.201207,697.715176
5.130000,1.032554,0.775221,179.226125,697.761974
5.140000,1.032566,0.775273,179.257907,697.811832
5.150000,1.032575,0.775331,179.296499,697.864661
5.160000,1.032581,0.775397,179.341840,697.920368
5.170000,1.032584,0.775470,179.393857,697.978856
5.180000,1.032583,0.775550,179.452473,698.040022
5.190000,1.032579,0.775637,179.517603,698.103758
5.200000,1.032572,0.775730,179.589152,698.169951
5.210000,1.032562,0.775830,179.667021,698.238487
5.220000,1.032548,0.775937,179.751101,698.309244
5.230000,1.032532,0.776049,179.841277,698.382100
5.240000,1.032512,0.776168,179.937427,698.456928
5.250000,1.032489,0.776292,180.039422,698.533599
5.260000,1.032463,0.776423,180.147126,698.611981
5.270000,1.032434,0.776558,180.260398,698.691940
5.280000,1.032402,0.776699,180.379089,698.773340
5.290000,1.032368,0.776845,180.503045,698.856043
5.300000,1.032330,0.776995,180.632105,698.939912
5.310000,1.032289,0.777150,180.766105,699.024805
5.320000,1.032246,0.777310,180.904871,699.110584
5.330000,1.032200,0.777473,181.048229,699.197108
5.340000,1.032151,0.777641,181.195995,699.284237
5.350000,1.032100,0.777812,181.347985,699.371831
5.360000,1.032046,0.777986,181.504007,699.459751
5.370000,1.031989,0.778164,181.663866,699.547859
5.380000,1.031930,0.778344,181.827363,699.636018
5.390000,1.031869,0.778527,181.994294,699.724093
5.400000,1.031806,0.778713,182.164455,699.811952
5.410000,1.031740,0.778901,182.337634,699.899462
5.420000,1.031673,0.779090,182.513620,699.986496
5.430000,1.031603,0.779282,182.692197,700.072927
5.440000,1.031531,0.779474,182.873146,700.158633
5.450000,1.031458,0.779668,183.056249,700.243492
5.460000,1.031382,0.779863,183.241283,700.327390
5.470000,1.031305,0.780058,183.428024,700.410212
5.480000,1.031227,0.780254,183.616248,700.491847
