"b:tnow in s","s:ut in p.u.","s:cur1 in p.u.","s:Q1 in Mvar","s:P1 in MW"
3.750000,1.034645,0.739487,173.165047,666.466691
3.760000,1.035282,0.738802,172.429946,666.435694
3.770000,1.035886,0.738224,171.768027,666.465317
3.780000,1.036458,0.737754,171.179223,666.555965
3.790000,1.036996,0.737391,170.663407,666.707809
3.800000,1.037502,0.737135,170.220403,666.920783
3.810000,1.037976,0.736984,169.849991,667.194597
3.820000,1.038417,0.736939,169.551923,667.528734
3.830000,1.038826,0.736998,169.325923,667.922459
3.840000,1.039204,0.737158,169.171695,668.374826
3.850000,1.039549,0.737420,169.088931,668.884678
3.860000,1.039862,0.737781,169.077314,669.450663
3.870000,1.040144,0.738239,169.136519,670.071233
3.880000,1.040395,0.738793,169.266221,670.744654
3.890000,1.040613,0.739440,169.466096,671.469016
3.900000,1.040801,0.740177,169.735818,672.242239
3.910000,1.040957,0.741004,170.075066,673.062081
3.920000,1.041082,0.741916,170.483521,673.926152
3.930000,1.041175,0.742911,170.960863,674.831915
3.940000,1.041237,0.743987,171.506774,675.776703
3.950000,1.041268,0.745141,172.120931,676.757726
3.960000,1.041267,0.746370,172.803009,677.772081
3.970000,1.041235,0.747671,173.552669,678.816761
3.980000,1.041171,0.749042,174.369561,679.888669
3.990000,1.041076,0.750478,175.253317,680.984627
4.000000,1.040949,0.751977,176.203542,682.101386
4.010000,1.040789,0.753536,177.219816,683.235640
4.020000,1.040598,0.755152,178.301677,684.384034
4.030000,1.040375,0.756822,179.448626,685.543179
4.040000,1.040119,0.758542,180.660112,686.709662
4.050000,1.039830,0.760309,181.935527,687.880057
4.060000,1.039510,0.762120,183.274202,689.050941
4.070000,1.039156,0.763973,184.675396,690.218902
4.080000,1.038770,0.765862,186.138291,691.380553
4.090000,1.038350,0.767787,187.661986,692.532546
4.100000,1.037898,0.769743,189.245488,693.671581
4.110000,1.037413,0.771727,190.887707,694.794423
4.120000,1.036895,0.773737,192.587453,695.897909
4.130000,1.036344,0.775769,194.343426,696.978965
4.140000,1.035760,0.777820,196.154212,698.034615
4.150000,1.035144,0.779888,198.018283,699.061995
4.160000,1.034495,0.781970,199.933991,700.058360
4.170000,1.033814,0.784062,201.899563,701.021103
4.180000,1.033101,0.786162,203.913103,701.947759
4.190000,1.032356,0.788268,205.972588,702.836016
4.200000,1.031580,0.790377,208.075872,703.683729
4.210000,1.030773,0.792486,210.220681,704.488923
4.220000,1.029935,0.794593,212.404619,705.249806
4.230000,1.029068,0.796696,214.625170,705.964775
4.240000,1.028172,0.798792,216.879700,706.632420
4.250000,1.027248,0.800879,219.165461,707.251534
4.260000,1.026296,0.802956,221.479600,707.821115
4.270000,1.025318,0.805019,223.819160,708.340369
4.280000,1.024313,0.807068,226.181091,708.808716
4.290000,1.023284,0.809101,228.562254,709.225788
4.300000,1.022232,0.811115,230.959434,709.591431
4.310000,1.021157,0.813109,233.369343,709.905704
4.320000,1.020060,0.815082,235.788637,710.168871
4.330000,1.018944,0.817032,238.213940,710.381351
4.340000,1.017809,0.818957,240.641797,710.543836
4.350000,1.016656,0.820858,243.068718,710.657223
4.360000,1.015488,0.822731,245.490913,710.722408
4.370000,1.014304,0.824576,247.904221,710.740291
4.380000,1.013107,0.826392,250.304837,710.712201
4.390000,1.011899,0.828178,252.689617,710.640006
4.400000,1.010680,0.829934,255.055224,710.525527
4.410000,1.009452,0.831657,257.398122,710.370591
4.420000,1.008218,0.833349,259.715080,710.177322
4.430000,1.006979,0.835007,262.003025,709.948000
4.440000,1.005736,0.836632,264.258829,709.684892
4.450000,1.004493,0.838224,266.479397,709.390322
4.460000,1.003249,0.839780,268.661657,709.066769
4.470000,1.002008,0.841302,270.802550,708.716695
4.480000,1.000771,0.842788,272.899068,708.342601
4.490000,0.999539,0.844239,274.948329,707.947042
4.500000,0.998314,0.845653,276.947627,707.532584
4.510000,0.997099,0.847030,278.894498,707.101651
4.520000,0.995894,0.848370,280.786558,706.657009
4.530000,0.994702,0.849673,282.621555,706.201469
4.540000,0.993525,0.850939,284.397376,705.737615
4.550000,0.992363,0.852167,286.112058,705.267823
4.560000,0.991219,0.853357,287.763742,704.794398
4.570000,0.990094,0.854509,289.350585,704.319807
4.580000,0.988990,0.855622,290.870852,703.846531
4.590000,0.987907,0.856697,292.322737,703.376727
4.600000,0.986849,0.857732,293.704463,702.912396
4.610000,0.985814,0.858727,295.014573,702.455636
4.620000,0.984807,0.859683,296.252040,702.008658
4.630000,0.983827,0.860598,297.416099,701.573580
4.640000,0.982877,0.861474,298.505938,701.152259
4.650000,0.981957,0.862309,299.520799,700.746377
4.660000,0.981069,0.863103,300.460025,700.357474
4.670000,0.980214,0.863856,301.323066,699.986934
4.680000,0.979393,0.864568,302.109497,699.635945
4.690000,0.978608,0.865237,302.818967,699.305587
4.700000,0.977859,0.865863,303.451213,698.996808
4.710000,0.977147,0.866447,304.006068,698.710388
4.720000,0.976474,0.866986,304.483443,698.446954
4.730000,0.975839,0.867482,304.883325,698.206985
4.740000,0.975244,0.867932,305.205777,697.990812
4.750000,0.974690,0.868337,305.450932,697.798621
4.760000,0.974177,0.868696,305.618993,697.630450
4.770000,0.973705,0.869008,305.710228,697.486192
4.780000,0.973276,0.869272,305.724985,697.365598
4.790000,0.972889,0.869487,305.663686,697.268276
4.800000,0.972546,0.869653,305.526830,697.193698
4.810000,0.972246,0.869770,305.314986,697.141196
4.820000,0.971990,0.869835,305.028792,697.109966
4.830000,0.971778,0.869849,304.668941,697.099082
4.840000,0.971610,0.869810,304.236179,697.107521
4.850000,0.971486,0.869718,303.731311,697.134140
4.860000,0.971407,0.869571,303.155198,697.177695
4.870000,0.971372,0.869370,302.508758,697.236841
4.880000,0.971381,0.869113,301.792961,697.310140
4.890000,0.971435,0.868799,301.008834,697.396072
4.900000,0.971533,0.868429,300.157459,697.493036
4.910000,0.971674,0.868000,299.239971,697.599361
4.920000,0.971859,0.867512,298.257563,697.713314
4.930000,0.972087,0.866965,297.211481,697.833103
4.940000,0.972358,0.866358,296.103024,697.956892
4.950000,0.972672,0.865690,294.933549,698.082804
4.960000,0.973027,0.864962,293.704464,698.208934
4.970000,0.973423,0.864172,292.417232,698.333357
4.980000,0.973861,0.863320,291.073371,698.454134
4.990000,0.974337,0.862407,289.674456,698.569329
5.000000,0.974854,0.861431,288.222114,698.677008
